Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
GargWyrm	Gargoyles and Wyrms	Ich baue Gargoyles and Wyrms
Aboms	Monstrositaten	Ich baue massiv Monstrositaten
MeatFiends	Fleischwagen und Gruftbestien	Ich baue Gruftbestien und Fleischwagen
MassDestroyer	Zerstoer	Ich baue massiv Zerstoer
CryptMix	Einheitenmix aus Gruft	Ich mixe Einheiten aus der Gruft
TempleMix	Einheitenmix aus Tempel	Ich mixe Einheiten aus dem Tempel der Verdammten
UAntiTower	Anti Tower	Ich baue massiv Belagerungswaffen
airair	Luft-Luft	Ich baue Luft-Luft-Einheiten
airground	Luft-Boden	Ich baue Luft-Boden-Einheiten
groundair	Boden-Luft	Ich baue Boden-Luft-Einheiten
groundground	Boden-Boden	Ich baue Boden-Boden-Einheiten
farm	Farmen	Ich baue Farmen
guard	Turme	Ich baue Turme
