Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
Dragonhawk	Hacones Dragon	Entrenando jinetes de dragonhawk
BarrackMix	Barracas y Taller	Combinando unidades de cuartel y taller
SanctumMix	Santuario y Nido de Grifos	Combinando unidades de santuario y nido de grifos
HAntiTower	Antitorres	Acopiando armas de asedio
VersusOrc	Hechiceras en masa	Entrenando hechiceras en masa
ROCNormalOrc	Normal	Entrenaré grunts y unidades magicas
ROCFastSh	Chamanes y taurens	Entrenaré chamanes y taurens
ROCKodo	Kodo	Entrenaré bestias kodo
ROCWyvSh	Chamanes y wyverns	Entrenaré chamanes y wyverns
ROCHHunters	Trolls	Entrenaré trolls arrancacabezas en masa
ROCRaiders	Incursores	Entrenaré incursores en masa
ROCCatapults	Grunts y Catapultas	Entrenaré grunts y demoledores
ROCHeadCatapults	Trolls y Catapultas	Entrenaré trolls arranca cabezas y demoledors
NormalOrc	Normal	Jugaré normal y entrenaré un poco de todo
FastSh	Chamanes y Taurens	Entrenando hechiceros y Taurens
WyvSh	Chamanes y Wyverns	Entrenando chamanes y wyverns
HHunters	Trolles Arrancacabezas	Entrenando trolles arrancacabezas en masa
Raiders	Incursores	Entrenaré incursores en masa
GruntCatapults	Grunts y demoledores	Entrenando grunts y demoledores
HeadCatapults	Arrancacabezas y demoledores	Entrenaré trolles arrancacabezas y demoledores
Wyvern	Wyverns	Entrenando wyverns en masa
BarrackMix	Mixtas Barracas	Combinando unidades de las barracas
BestiaryMix	Mixtas Bestiario	Combinando unidades del bestiario
AntiPierce	Antiperforación	Estoy Entrenando unidades cuerpo a cuerpo e incursores
AntiAir	Jinetes de murciélago	Estoy amasando jinetes de murciélagos
OAntiTower	Antitorres	Acopiando armas de asedio
VersusHuman	Incursores y espíritus	Estoy entrenando incursores y espíritus caminantes
VersusUndead	Grunts y beastiario	Entrenando grunts y una mezcla del bestiario
VersusElf	Incursores y catapultas	Entrenando incursores y demoledores
ROCNormalUndead	Normal	Jugaré normal y entrenaré algo de cada cosa
ROCWyrms	Wyrms	Jugaré con wyrms de hielo y algunos demonios de la cripta
ROCBanshee	Banshees	Entrenaré banshees principalmente
ROCNecro	Necros	Entrenaré nigromantes
ROCGhouls	Necrófagos	Entrenaré necrófagos en masa
ROCFiends	Demonios	Entrenaré demonios de la cripta en masa
ROCGargWyrm	Gargolas y wyrms	Entrenaré gárgolas y wyrms
ROCAboms	Aboms	Entrenaré abominaciones en masa
ROCMeatFiends	Carros y demonios de la cripta	Entrenaré demonios de la cripta y carros de despojos
NormalUndead	Normal	Jugaré un poco de todo
Wyrms	Wyrms	Entrenando wyrms y unos cuantos demonios de la cripta
Banshee	Banshees	Entrenando principalmente Banshees
Necro	Nigromantes	Entrenando nigromantes
Ghouls	Necrófagos	Entrenando necrófagos en masa
GargGhouls	Gárgolas y necrófagos	Entrenaré gárgolas y necrófagos
Fiends	Demonios de la cripta	Entrenaré demonios de la cripta en masa
GargWyrm	Gargolas y Wyrms	Entrenando gárgolas y wyrms
Aboms	Abominaciones	Entrenando abominaciones en masa
MeatFiends	Carros y demonios de la cripta	Entrenando demonios de la cripta y carros de despojos
MassDestroyer	Destructores en masa	Entrenando destructores en masa
CryptMix	Cripta y Matadero	Intentando con unidades de la cripta y el matadero
TempleMix	Templo y Matadero	Mezclando unidades del templo de los malditos y el matadero
UAntiTower	Antitorres	Acopiando armas de asedio
airair	Aire-aire	Entrenaré unidades de combate aéreo
airground	Aire-tierra	Usaré unidades aéreas contra las terrestres
groundair	Tierra-Aire	Usaré unidades terrestres contra las aéreas
groundground	Tierra-Tierra	Entrenaré unidades de combate en tierra
farm	Granjas	Construiré granjas
guard	Torres	Construiré torres
