Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCRifle	Fusilier.	Je vais creer massivement des Fusiliers.
ROCMortars	Mortiers	Je vais creer massivement des Mortiers.
ROCCopters	Gyrocopteres.	Je vais creer des Gyrocopteres.
NormalHuman	Normal	Je vais jouer normalement, avec un peu de tout.
MassSp	Casters	Je vais masser des caster de sorts
Gryph	Gryphon	je vais faire des gryphons
Knight	Knights	Je vais faire des chevalier et des fantassins
Rifle	Rifle	Je vais faire des fusilier et des prêtre
Mortars	Mortars	Je m'occupe des fusiliers et des mortiers
Copters	Copters	Je vais m'occuper des gyrocoptéres
MassSB	SpellBreakers	Je vais masser des briseurs de sorts
Dragonhawk	Dragon Hawks	Je vais utiliser des chevaucheur de dragons 
BarrackMix	Barrack Mix	Je vais mélanger des unités des barraques et de l'atelier
SanctumMix	Sanctum Mix	Jéssai de mélanger des unités du Sanctum
HAntiTower	Anti Tower	Je vais faire beaucoup de siéges
VersusOrc	Mass Sorceress	Je m'occupe des sorciéres
ROCNormalOrc	Normal	Je vais creer des grunts et des casters.
ROCFastSh	Chamans et Taurens.	Je vais creer des Chamans et des Taurens.
ROCKodo	Bete Kodo.	Je vais creer des Betes Kodo en masse.
ROCWyvSh	Chamans and Wyvernes.	Je vais creer des Chamans et des Wyvernes.
ROCHHunters	Chasseurs de tetes.	Je vais creer massivement des Chasseurs de tetes.
ROCRaiders	Chevaucheurs de Loup.	Je vais creer des Chevaucheurs de Loup en masse.
ROCCatapults	Grunts and Catapultes.	Je vais creer des grunts et des demolishers.
ROCHeadCatapults	Chasseurs de tetes and Catapultes.	Je vais creer des Chasseurs de tetes et des demolishers.
NormalOrc	Normal	Je vais faire des grunts et des casters
FastSh	Shamans and Taurens	Je m'occupe des casters et des taurens
WyvSh	Shamans and Wyverns	Je vais essayer des shamans et des wyverns
HHunters	Head Hunters	Je vais masser des trolls
Raiders	Raiders	Je mass des chevaucheurs de loups
GruntCatapults	Grunts and Catapults	Je vais faire du siége et des grunts
HeadCatapults	Head hunters and Catapults	jéssai des trolls et des catapultes
Wyvern	Mass Wyvern	Je m'occupe des wyvernes
BarrackMix	Barrack Mix	Je fais un mélanege des barraques
BestiaryMix	Bestiary Mix	je fais un mélange des unités du bestiaire
AntiPierce	Anti Pierce	Je vais utiliser de mêlée
AntiAir	Batriders	Je vais utiliser des chevaucher de chauve-souris
OAntiTower	Anti Tower	Je m'occupe du siége
VersusHuman	Raiders and Spirtwalkers	Je vais faires des chevaucheurs de loups et des shamans taurens
VersusUndead	Grunts and Beastiary	Je vais faire des grunts et des unitées du bestiaire
VersusElf	Raiders and Demolishers	je m'occupe des chevaucheurs de loup et des démolisseurs
NormalUndead	Normal	je vais jouer normal et utiliser un peu de tout
ROCNormalUndead	Normal	Je joue normalement et je construis quelque chose de tout.
ROCWyrms	Wyrms des glaces.	Je vais creer massivement des Wyrms des glaces avec quelques Demons de cryptes.
ROCBanshee	Banshees.	Je vais creer principalement des Banshees.
ROCNecro	Necromanciens.	Je vais creer des Necromanciens.
ROCGhouls	Goules.	Je vais creer des Goules en masse.
ROCFiends	Demons des cryptes.	Je vais creer massivement des Demons des cryptes.
ROCGargWyrm	Gargouilles and Wyrms des glaces.	Je vais creer des gargouilles et des Wyrms des glaces.
ROCAboms	Abominations.	Je vais creer des Abominations en masse.
ROCMeatFiends	Chariots a viande et Demons des cryptes.	Je vais creer des Chariots a viande et des Demons des cryptes.
NormalUndead	Normal	je vais jouer normal et utiliser un peu de tout
Wyrms	Wyrms	Je vais faire des wyrms et des démons des cryptes
Banshee	Banshees	Je m'occupe dse banshees
Necro	Necros	Je vais utiliser des nécros
Ghouls	Ghouls	Je vais masser des ghoules
GargGhouls	Gargoyles and Ghouls	Je m'occupe des ghoules et des gargouilles
Fiends	Fiends	Je vais masser des démons des cryptes
GargWyrm	Gargoyles and Wyrms	Je m'occupe des wyrms et des gargouilles
Aboms	Aboms	Je vais masser des abominations
MeatFiends	Meat wagons and Fiends	Je vais essayer des démons des cryptes et des catapultes
MassDestroyer	Mass Destroyers	Je vais faire des obsidian
CryptMix	Crypt Mix	Je vais mélanger des unités de la crypte et slaughterhouse
TempleMix	Temple Mix	Je mélande le temple et la slaughterhouse
UAntiTower	Anti Tower	Je vais utiliser du siége
airair	Air-Air	Je construis des unites air-air.
airground	Air-Sol	Je construis des unites air-sol.
groundair	Sol-Air	Je construis des unites sol-air.
groundground	Sol-Sol	Je construis des unites sol-sol.
farm	Fermes	Je construis des fermes.
guard	Tourelles	Je construis des tourelles.
