Profile Name	Race	Aggression	Uncertainty	Minimum Attack Strength	Build Farm at left food	first expansion time	second expansion time	strategy persistence	influences number of factories built	Taunt Rate	Expansion Target Bonus	Hard coded AI target bonus	Hard coded AI target rate	Surrender Value	Favorite ELF Hero	Favorite HUMAN Hero	Favorite ORC Hero	Favorite UNDEAD Hero	Favorite Neutral Hero	Favorite ELF Unit	Favorite HUMAN Unit	Favorite ORC Unit	Favorite UNDEAD Unit	Rare Profile
Xerox	RANDOM	-7	9	7	10	6	12	950	1.3	1	12	5	0.6	1	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DREAD_LORD	0	HUNTRESS	KNIGHT	GRUNT	CRYPT_FIEND	0
Xenon	RANDOM	-7	8	7	8	7	12	900	1.4	1	11	6	0.4	1	KEEPER	ARCHMAGE	TAUREN_CHIEF	DREAD_LORD	0	ARCHER	GRYPHON	GRUNT	GHOUL	0
Zitrax	RANDOM	-9	11	7	8	6	17	850	1.35	1	5	8	0.6	1	MOON_CHICK	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	RIFLEMAN	HEAD_HUNTER	GHOUL	0
Menace	RANDOM	-11	12	6	9	7	17	950	1.35	1	6	6	0.7	1	KEEPER	ARCHMAGE	BLADE_MASTER	DEATH_KNIGHT	0	HUNTRESS	MORTAR	GRUNT	FROST_WYRM	0
Razkal	RANDOM	-8	8	7	6	6	12	970	1.3	1	7	7	0.6	1	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRYAD	KNIGHT	WYVERN	NECRO	0
Terra	RANDOM	-9	7	7	9	6	14	980	1.4	1	5	8	0.5	1	DEMON_HUNTER	MTN_KING	FAR_SEER	LICH	0	HUNTRESS	GRYPHON	CATAPULT	CRYPT_FIEND	0
Utopio	RANDOM	-8	9	8	8	6	15	970	1.35	1	8	5	0.4	1	KEEPER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	DRUID_CLAW	RIFLEMAN	WYVERN	GHOUL	0
Q	RANDOM	-11	8	7	7	7	16	985	1.3	1	9	6	0.5	1	MOON_CHICK	MTN_KING	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	KNIGHT	HEAD_HUNTER	CRYPT_FIEND	0
MaTrIx	RANDOM	-10	5	7	10	7	14	970	1.4	1	5	8	0.6	1	DEMON_HUNTER	MTN_KING	FAR_SEER	DREAD_LORD	0	CHIMAERA	KNIGHT	GRUNT	GHOUL	0
BORG	RANDOM	-12	6	7	8	6	13	1050	1.35	1	10	7	0.6	1	DEMON_HUNTER	ARCHMAGE	TAUREN_CHIEF	DREAD_LORD	0	DRYAD	KNIGHT	GRUNT	GHOUL	0
Cybernetic	RANDOM	-7	5	7	9	6	15	900	1.35	1	13	5	0.5	1	DEMON_HUNTER	PALADIN	FAR_SEER	DEATH_KNIGHT	0	DRUID_TALON	GRYPHON	TAUREN	NECRO	0
CyberPro	RANDOM	-6	6	8	10	6	14	800	1.4	1	11	3	0.5	1	KEEPER	ARCHMAGE	BLADE_MASTER	LICH	0	ARCHER	RIFLEMAN	WYVERN	CRYPT_FIEND	0
Cyrrix	RANDOM	-7	5	8	8	7	13	900	1.3	1	10	4	0.4	1	DEMON_HUNTER	ARCHMAGE	TAUREN_CHIEF	DREAD_LORD	0	DRYAD	KNIGHT	HEAD_HUNTER	FROST_WYRM	0
ArraXy	RANDOM	-10	9	7	11	7	16	1000	1.35	1	8	6	0.5	1	MOON_CHICK	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	HUNTRESS	MORTAR	CATAPULT	NECRO	0
Trollus	RANDOM	-8	8	7	8	7	13	950	1.35	1	9	7	0.4	1	DEMON_HUNTER	ARCHMAGE	FAR_SEER	DEATH_KNIGHT	0	CHIMAERA	RIFLEMAN	GRUNT	GHOUL	0
Aaargh	RANDOM	-9	9	7	9	6	18	900	1.4	1	7	5	0.4	1	DEMON_HUNTER	MTN_KING	TAUREN_CHIEF	LICH	0	ARCHER	GRYPHON	HEAD_HUNTER	GHOUL	0
