Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
SPIRIT_WOLF	CHAIN_LIGHTNING	CHAIN_LIGHTNING	SPIRIT_WOLF	CHAIN_LIGHTNING	EARTHQUAKE	SPIRIT_WOLF	FAR_SIGHT	FAR_SIGHT	FAR_SIGHT
WAR_STOMP	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	WAR_STOMP	REINCARNATION	ENDURANE_AURA	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	REINCARNATION	ENDURANE_AURA	WAR_STOMP	WAR_STOMP	WAR_STOMP
WAR_STOMP	ENDURANE_AURA	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	REINCARNATION	WAR_STOMP	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
WAR_STOMP	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	WAR_STOMP	REINCARNATION	ENDURANE_AURA	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	REINCARNATION	WAR_STOMP	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	REINCARNATION	ENDURANE_AURA	WAR_STOMP	WAR_STOMP	WAR_STOMP
WAR_STOMP	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	WAR_STOMP	REINCARNATION	ENDURANE_AURA	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	WAR_STOMP	ENDURANE_AURA	REINCARNATION	WAR_STOMP	SHOCKWAVE	SHOCKWAVE	SHOCKWAVE
SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	ENDURANE_AURA	SHOCKWAVE	REINCARNATION	ENDURANE_AURA	WAR_STOMP	WAR_STOMP	WAR_STOMP
SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	VOODOO	HEALING_WAVE	HEX	HEX	HEX
HEX	HEALING_WAVE	HEALING_WAVE	HEX	HEALING_WAVE	VOODOO	HEX	SERPENT_WARD	SERPENT_WARD	SERPENT_WARD
SERPENT_WARD	HEALING_WAVE	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	VOODOO	SERPENT_WARD	HEX	HEX	HEX
SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	VOODOO	HEALING_WAVE	HEX	HEX	HEX
HEX	HEALING_WAVE	HEALING_WAVE	HEX	HEALING_WAVE	VOODOO	HEX	SERPENT_WARD	SERPENT_WARD	SERPENT_WARD
SERPENT_WARD	HEALING_WAVE	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	VOODOO	SERPENT_WARD	HEX	HEX	HEX
SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	SERPENT_WARD	VOODOO	HEALING_WAVE	HEX	HEX	HEX
HEX	HEALING_WAVE	HEALING_WAVE	HEX	HEALING_WAVE	VOODOO	HEX	SERPENT_WARD	SERPENT_WARD	SERPENT_WARD
SERPENT_WARD	HEALING_WAVE	HEALING_WAVE	SERPENT_WARD	HEALING_WAVE	VOODOO	SERPENT_WARD	HEX	HEX	HEX
