Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
ROCKETS	POCKETFACTORY	ROCKETS	UPGRADE	ROCKETS	ROBOGOBLIN	UPGRADE	UPGRADE	POCKETFACTORY	POCKETFACTORY
SUMMON_LAVASPAWN	INCINERATE	SUMMON_LAVASPAWN	INCINERATE	SUMMON_LAVASPAWN	VOLCANO	INCINERATE	SOUL_BURN	SOUL_BURN	SOUL_BURN
SUMMON_LAVASPAWN	SOUL_BURN	SUMMON_LAVASPAWN	INCINERATE	SUMMON_LAVASPAWN	VOLCANO	INCINERATE	INCINERATE	SOUL_BURN	SOUL_BURN
SOUL_BURN	INCINERATE	SOUL_BURN	INCINERATE	SOUL_BURN	VOLCANO	INCINERATE	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN
SUMMON_LAVASPAWN	INCINERATE	SUMMON_LAVASPAWN	INCINERATE	SUMMON_LAVASPAWN	VOLCANO	INCINERATE	SOUL_BURN	SOUL_BURN	SOUL_BURN
SUMMON_LAVASPAWN	SOUL_BURN	SUMMON_LAVASPAWN	SOUL_BURN	SUMMON_LAVASPAWN	VOLCANO	SOUL_BURN	INCINERATE	INCINERATE	INCINERATE
SOUL_BURN	INCINERATE	SOUL_BURN	INCINERATE	SOUL_BURN	VOLCANO	INCINERATE	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN
SOUL_BURN	INCINERATE	SOUL_BURN	INCINERATE	SOUL_BURN	VOLCANO	INCINERATE	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN
SOUL_BURN	INCINERATE	SOUL_BURN	INCINERATE	SOUL_BURN	VOLCANO	INCINERATE	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN
INCINERATE	SOUL_BURN	INCINERATE	SOUL_BURN	INCINERATE	VOLCANO	SOUL_BURN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN	SUMMON_LAVASPAWN
ACID_BOMB	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	ACID_BOMB	TRANSMUTE	HEALING_SPRAY	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
ACID_BOMB	HEALING_SPRAY	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	TRANSMUTE	ACID_BOMB	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	TRANSMUTE	HEALING_SPRAY	ACID_BOMB	ACID_BOMB	ACID_BOMB
ACID_BOMB	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	ACID_BOMB	TRANSMUTE	HEALING_SPRAY	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
ACID_BOMB	HEALING_SPRAY	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	TRANSMUTE	ACID_BOMB	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	TRANSMUTE	HEALING_SPRAY	ACID_BOMB	ACID_BOMB	ACID_BOMB
ACID_BOMB	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	ACID_BOMB	TRANSMUTE	HEALING_SPRAY	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
ACID_BOMB	HEALING_SPRAY	HEALING_SPRAY	ACID_BOMB	HEALING_SPRAY	TRANSMUTE	ACID_BOMB	CHEMICAL_RAGE	CHEMICAL_RAGE	CHEMICAL_RAGE
CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	HEALING_SPRAY	CHEMICAL_RAGE	TRANSMUTE	HEALING_SPRAY	ACID_BOMB	ACID_BOMB	ACID_BOMB
