Name in AI	4-letter-code	race	type	buy type	built in/by, needed1	needed2	needed3	add for counting 1	add for counting 2	attack group	available time (in seconds)	restock time (in seconds)	gold_price (items only)	wood_price (items only)	bonus hero strength	air strength	casters strength	towers strength	piercing strength	normal strength	siege strength	magic strength	unarmored strength	lightarmor strength	mediumarmor strength	heavyarmor strength
GRYPHON	hgry	HUMAN	0	UNIT	AVIARY	CASTLE	0	0	0	true	0	0	0	0	0	4	0	0	0	0	0	4	0	4	0	0
KNIGHT	hkni	HUMAN	0	UNIT	BARRACKS	CASTLE	BLACKSMITH	0	0	true	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4
MORTAR	hmtm	HUMAN	siege	UNIT	WORKSHOP	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
PEASANT	hpea	HUMAN	peon	UNIT	TOWN_HALL	0	0	MILITIA	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRIEST	hmpr	HUMAN	0	UNIT	SANCTUM	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
RIFLEMAN	hrif	HUMAN	0	UNIT	BARRACKS	BLACKSMITH	0	0	0	true	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
SORCERESS	hsor	HUMAN	0	UNIT	SANCTUM	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
STEAM_TANK	hmtt	HUMAN	siege	UNIT	WORKSHOP	CASTLE	0	ROCKET_TANK	0	true	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ROCKET_TANK	hrtt	HUMAN	siege	UNIT	WORKSHOP	CASTLE	0	STEAM_TANK	0	true	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
MILITIA	hmil	HUMAN	militia,mutated	UNIT	0	0	0	PEASANT	0	false	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SPELL_BREAKER	hspt	HUMAN	0	UNIT	SANCTUM	KEEP	ARCANE_VAULT	0	0	true	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0
HUMAN_DRAGON_HAWK	hdhw	HUMAN	0	UNIT	AVIARY	ARCANE_VAULT	0	0	0	true	0	0	0	0	0	3	0	0	3	0	0	0	0	3	0	0
AVIARY	hgra	HUMAN	0	BUILDING	PEASANT	KEEP	LUMBER_MILL	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARRACKS	hbar	HUMAN	0	BUILDING	PEASANT	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLACKSMITH	hbla	HUMAN	0	BUILDING	PEASANT	TOWN_HALL	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANNON_TOWER	hctw	HUMAN	0	BUILDING	WATCH_TOWER	WORKSHOP	UPGRADED	0	0	false	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CASTLE	hcas	HUMAN	hall3	BUILDING	KEEP	HUMAN_ALTAR	UPGRADED	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUARD_TOWER	hgtw	HUMAN	0	BUILDING	WATCH_TOWER	LUMBER_MILL	UPGRADED	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HOUSE	hhou	HUMAN	farm	BUILDING	PEASANT	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HUMAN_ALTAR	halt	HUMAN	altar	BUILDING	PEASANT	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEEP	hkee	HUMAN	hall2	BUILDING	TOWN_HALL	0	UPGRADED	CASTLE	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUMBER_MILL	hlum	HUMAN	lumber	BUILDING	PEASANT	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SANCTUM	hars	HUMAN	0	BUILDING	PEASANT	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCANE_SANCTUM	hars	HUMAN	0	BUILDING	PEASANT	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOWN_HALL	htow	HUMAN	hall1	BUILDING	0	0	0	KEEP	CASTLE	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATCH_TOWER	hwtw	HUMAN	0	BUILDING	PEASANT	0	0	GUARD_TOWER	CANNON_TOWER	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WORKSHOP	harm	HUMAN	0	BUILDING	PEASANT	KEEP	BLACKSMITH	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCANE_VAULT	hvlt	HUMAN	shop	BUILDING	PEASANT	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCANE_TOWER	hatw	HUMAN	0	BUILDING	WATCH_TOWER	0	UPGRADED	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UPG_MELEE	Rhme	HUMAN	upgrade	ML_UPGRADE	BLACKSMITH	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_RANGED	Rhra	HUMAN	upgrade	ML_UPGRADE	BLACKSMITH	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ARMOR	Rhar	HUMAN	upgrade	ML_UPGRADE	BLACKSMITH	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_MASONRY	Rhac	HUMAN	upgrade	ML_UPGRADE	LUMBER_MILL	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SENTINEL	Rhse	HUMAN	upgrade	UPGRADE	SANCTUM	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_DEFEND	Rhde	HUMAN	upgrade	UPGRADE	BARRACKS	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_BREEDING	Rhan	HUMAN	upgrade	UPGRADE	BARRACKS	CASTLE	BLACKSMITH	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_PRAYING	Rhpt	HUMAN	upgrade	ML_UPGRADE	SANCTUM	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SORCERY	Rhst	HUMAN	upgrade	ML_UPGRADE	SANCTUM	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_LEATHER	Rhla	HUMAN	upgrade	ML_UPGRADE	BLACKSMITH	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_GUN_RANGE	Rhri	HUMAN	upgrade	UPGRADE	BARRACKS	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_WOOD	Rhlh	HUMAN	upgrade	ML_UPGRADE	LUMBER_MILL	KEEP	CASTLE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SIGHT	Rhfl	HUMAN	upgrade	UPGRADE	WORKSHOP	KEEP	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_BOMBS	Rhgb	HUMAN	upgrade	UPGRADE	WORKSHOP	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_HAMMERS	Rhhb	HUMAN	upgrade	UPGRADE	AVIARY	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_CONT_MAGIC	Rhss	HUMAN	upgrade	UPGRADE	SANCTUM	CASTLE	ARCANE_VAULT	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_FRAGS	Rhfs	HUMAN	upgrade	UPGRADE	WORKSHOP	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_TANK	Rhrt	HUMAN	upgrade	UPGRADE	WORKSHOP	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_FLAK	Rhfc	HUMAN	upgrade	UPGRADE	WORKSHOP	CASTLE	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_CLOUD	Rhcd	HUMAN	upgrade	UPGRADE	AVIARY	CASTLE	ARCANE_VAULT	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_SUN_BLADE	Rhsb	HUMAN	upgrade	UPGRADE	LUMBER_MILL	CASTLE	BLACKSMITH	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLADE_MASTER	Obla	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR_SEER	Ofar	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAUREN_CHIEF	Otch	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHADOW_HUNTER	Oshd	ORC	hero	HERO	ORC_ALTAR	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATAPULT	ocat	ORC	siege	UNIT	ORC_BARRACKS	STRONGHOLD	FORGE	0	0	true	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4
WITCH_DOCTOR	odoc	ORC	0	UNIT	LODGE	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
GRUNT	ogru	ORC	0	UNIT	ORC_BARRACKS	0	0	0	0	true	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3
HEAD_HUNTER	ohun	ORC	0	UNIT	ORC_BARRACKS	FORGE	0	BERSERKER	0	true	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
BERSERKER	otbk	ORC	0	UNIT	ORC_BARRACKS	FORGE	0	0	0	true	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
KODO_BEAST	okod	ORC	0	UNIT	BESTIARY	FORGE	0	0	0	true	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0
PEON	opeo	ORC	peon	UNIT	GREAT_HALL	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAIDER	orai	ORC	0	UNIT	BESTIARY	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
SHAMAN	oshm	ORC	0	UNIT	LODGE	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
TAUREN	otau	ORC	0	UNIT	TOTEM	0	0	0	0	true	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5
WYVERN	owyv	ORC	0	UNIT	BESTIARY	0	0	0	0	true	0	0	0	0	0	4	0	0	4	0	0	0	0	4	0	0
BATRIDER	otbr	ORC	0	UNIT	BESTIARY	VOODOO_LOUNGE	0	0	0	true	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0
SPIRIT_WALKER	ospm	ORC	0	UNIT	LODGE	0	0	SPIRIT_WALKER_M	0	true	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0
SPIRIT_WALKER_M	ospw	ORC	mutated	UNIT	LODGE	0	0	0	SPIRIT_WALKER	true	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0
SPIRITWOLF	osw1	ORC	0	UNIT	FAR_SEER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIRITWOLF2	osw2	ORC	0	UNIT	FAR_SEER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIRITWOLF3	osw3	ORC	0	UNIT	FAR_SEER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPENTWARD	osp1	ORC	0	UNIT	SHADOW_HUNTER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPENTWARD2	osp2	ORC	0	UNIT	SHADOW_HUNTER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPENTWARD3	osp3	ORC	0	UNIT	SHADOW_HUNTER	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPENTWARD4	osp4	ORC	0	UNIT	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SENTRYWARD	oeye	ORC	0	UNIT	WITCH_DOCTOR	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STASISTOTEM	otot	ORC	0	UNIT	WITCH_DOCTOR	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEALINGWARD	ohwd	ORC	0	UNIT	WITCH_DOCTOR	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC_ALTAR	oalt	ORC	altar	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC_BARRACKS	obar	ORC	0	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BESTIARY	obea	ORC	0	BUILDING	PEON	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORGE	ofor	ORC	lumber	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORTRESS	ofrt	ORC	hall3	BUILDING	STRONGHOLD	ORC_ALTAR	UPGRADED	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREAT_HALL	ogre	ORC	hall1	BUILDING	0	0	0	STRONGHOLD	FORTRESS	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LODGE	osld	ORC	0	BUILDING	PEON	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRONGHOLD	ostr	ORC	hall2	BUILDING	GREAT_HALL	0	UPGRADED	FORTRESS	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BURROW	otrb	ORC	farm	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOTEM	otto	ORC	0	BUILDING	PEON	FORTRESS	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC_WATCH_TOWER	owtw	ORC	0	BUILDING	PEON	FORGE	0	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VOODOO_LOUNGE	ovln	ORC	shop	BUILDING	PEON	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_WAR_DRUMS	Rwdm	ORC	upgrade	UPGRADE	BESTIARY	FORTRESS	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_PILLAGE	Ropg	ORC	upgrade	UPGRADE	GREAT_HALL	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_BERSERK	Robs	ORC	upgrade	UPGRADE	ORC_BARRACKS	STRONGHOLD	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_PULVERIZE	Rows	ORC	upgrade	UPGRADE	TOTEM	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_ENSNARE	Roen	ORC	upgrade	UPGRADE	BESTIARY	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_VENOM	Rovs	ORC	upgrade	UPGRADE	BESTIARY	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_REGEN	Rotr	ORC	upgrade	UPGRADE	ORC_BARRACKS	STRONGHOLD	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_FIRE	Rolf	ORC	upgrade	UPGRADE	BESTIARY	FORTRESS	VOODOO_LOUNGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_BERSERKER	Robk	ORC	upgrade	UPGRADE	ORC_BARRACKS	FORTRESS	FORGE	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_BURROWS	Rorb	ORC	upgrade	UPGRADE	FORGE	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_MELEE	Rome	ORC	upgrade	ML_UPGRADE	FORGE	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_RANGED	Rora	ORC	upgrade	ML_UPGRADE	FORGE	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_ARMOR	Roar	ORC	upgrade	ML_UPGRADE	FORGE	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_SPIKES	Rosp	ORC	upgrade	ML_UPGRADE	FORGE	STRONGHOLD	FORTRESS	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_DOCS	Rowd	ORC	upgrade	ML_UPGRADE	LODGE	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_SHAMAN	Rost	ORC	upgrade	ML_UPGRADE	LODGE	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_SWALKER	Rowt	ORC	upgrade	ML_UPGRADE	LODGE	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPG_ORC_NAPTHA	Robf	ORC	upgrade	UPGRADE	ORC_BARRACKS	FORTRESS	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEATH_KNIGHT	Udea	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DREAD_LORD	Udre	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LICH	Ulic	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYPT_LORD	Ucrl	UNDEAD	hero	HERO	UNDEAD_ALTAR	NECROPOLIS_2	NECROPOLIS_3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABOMINATION	uabo	UNDEAD	0	UNIT	SLAUGHTERHOUSE	NECROPOLIS_3	0	0	0	true	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4
ACOLYTE	uaco	UNDEAD	peon	UNIT	NECROPOLIS_1	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANSHEE	uban	UNDEAD	0	UNIT	DAMNED_TEMPLE	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
CRYPT_FIEND	ucry	UNDEAD	0	UNIT	CRYPT	GRAVEYARD	0	0	BURROWED_FIEND	true	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
BURROWED_FIEND	ucrm	UNDEAD	mutated	UNIT	0	0	0	0	CRYPT_FIEND	true	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
FROST_WYRM	ufro	UNDEAD	0	UNIT	BONEYARD	0	0	0	0	true	0	0	0	0	0	7	0	0	0	0	0	7	0	7	0	0
GARGOYLE	ugar	UNDEAD	0	UNIT	CRYPT	NECROPOLIS_2	GRAVEYARD	0	GARGOYLE_MORPH	true	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0
GARGOYLE_MORPH	ugrm	UNDEAD	mutated	UNIT	0	0	0	0	GARGOYLE	false	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0
GHOUL	ugho	UNDEAD	ghoul	UNIT	CRYPT	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
MEAT_WAGON	umtw	UNDEAD	siege	UNIT	SLAUGHTERHOUSE	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4
NECRO	unec	UNDEAD	0	UNIT	DAMNED_TEMPLE	0	0	0	0	true	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0
SKEL_WARRIOR	uske	UNDEAD	0	UNIT	NECRO	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHADE	ushd	UNDEAD	0	UNIT	ACOLYTE	SAC_PIT	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSIDIAN_STATUE	uobs	UNDEAD	statue	UNIT	SLAUGHTERHOUSE	TOMB_OF_RELICS	0	0	0	true	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
BLK_SPHINX	ubsp	UNDEAD	0	UNIT	OBS_STATUE	0	UPGRADED	0	0	true	0	0	0	0	0	5	2	0	0	0	0	5	0	5	0	0
UNDEAD_MINE	ugol	UNDEAD	expansion,mine	BUILDING	ACOLYTE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNDEAD_ALTAR	uaod	UNDEAD	altar	BUILDING	ACOLYTE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BONEYARD	ubon	UNDEAD	0	BUILDING	ACOLYTE	NECROPOLIS_3	SAC_PIT	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NECROPOLIS_1	unpl	UNDEAD	hall1	BUILDING	0	0	0	NECROPOLIS_2	NECROPOLIS_3	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NECROPOLIS_2	unp1	UNDEAD	hall2	BUILDING	NECROPOLIS_1	0	UPGRADED	NECROPOLIS_3	0	false	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NECROPOLIS_3	unp2	UNDEAD	hall3	BUILDING	NECROPOLIS_2	UNDEAD_ALTAR	UPGRADED	0	0	false	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SAC_PIT	usap	UNDEAD	0	BUILDING	ACOLYTE	NECROPOLIS_2	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYPT	usep	UNDEAD	0	BUILDING	ACOLYTE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLAUGHTERHOUSE	uslh	UNDEAD	0	BUILDING	ACOLYTE	NECROPOLIS_2	GRAVEYARD	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAMNED_TEMPLE	utod	UNDEAD	0	BUILDING	ACOLYTE	NECROPOLIS_2	GRAVEYARD	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIGGURAT_1	uzig	UNDEAD	farm	BUILDING	ACOLYTE	0	0	ZIGGURAT_2	ZIGGURAT_FROST	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIGGURAT_2	uzg1	UNDEAD	zigg	BUILDING	ZIGGURAT_1	GRAVEYARD	UPGRADED	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZIGGURAT_FROST	uzg2	UNDEAD	zigg	BUILDING	ZIGGURAT_1	0	UPGRADED	0	0	false	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRAVEYARD	ugrv	UNDEAD	lumber	BUILDING	ACOLYTE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMB_OF_RELICS	utom	UNDEAD	shop	BUILDING	ACOLYTE	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INFERNAL	ninf	UNDEAD	mutated	UNIT	DREAD_LORD	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARRION_BEETLE	ucs1	UNDEAD	0	UNIT	CRYPT_LORD	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARRION_BEETLE2	ucs2	UNDEAD	0	UNIT	CRYPT_LORD	0	0	0	CARRION_BEETLE2A	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARRION_BEETLE3	ucs3	UNDEAD	0	UNIT	CRYPT_LORD	0	0	0	CARRION_BEETLE3A	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARRION_BEETLE2A	ucsB	UNDEAD	mutated	UNIT	0	0	0	0	CARRION_BEETLE2	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARRION_BEETLE3A	ucsC	UNDEAD	mutated	UNIT	0	0	0	0	CARRION_BEETLE3	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKEL_MAGE	uskm	UNDEAD	0	UNIT	NECRO	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
