Level 1 Spell	Level 2 Spell	Level 3 Spell	Level 4 Spell	Level 5 Spell	Level 6 Spell	Level 7 Spell	Level 8 Spell	Level 9 Spell	Level 10 Spell
SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	STARFALL	TRUESHOT	SCOUT	SCOUT	SCOUT
TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	STARFALL	TRUESHOT	SCOUT	SCOUT	SCOUT
TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
TRUESHOT	SEARING_ARROWS	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
SEARING_ARROWS	TRUESHOT	TRUESHOT	SEARING_ARROWS	TRUESHOT	STARFALL	SEARING_ARROWS	SCOUT	SCOUT	SCOUT
SHADOW_TOUCH	FAN_KNIVES	SHADOW_TOUCH	FAN_KNIVES	SHADOW_TOUCH	VENGEANCE	FAN_KNIVES	BLINK	BLINK	BLINK
SHADOW_TOUCH	BLINK	FAN_KNIVES	SHADOW_TOUCH	BLINK	VENGEANCE	SHADOW_TOUCH	FAN_KNIVES	FAN_KNIVES	BLINK
FAN_KNIVES	SHADOW_TOUCH	FAN_KNIVES	BLINK	FAN_KNIVES	VENGEANCE	BLINK	SHADOW_TOUCH	SHADOW_TOUCH	BLINK
SHADOW_TOUCH	FAN_KNIVES	SHADOW_TOUCH	FAN_KNIVES	SHADOW_TOUCH	VENGEANCE	FAN_KNIVES	BLINK	BLINK	BLINK
SHADOW_TOUCH	BLINK	FAN_KNIVES	SHADOW_TOUCH	BLINK	VENGEANCE	SHADOW_TOUCH	FAN_KNIVES	FAN_KNIVES	BLINK
FAN_KNIVES	SHADOW_TOUCH	FAN_KNIVES	BLINK	FAN_KNIVES	VENGEANCE	BLINK	SHADOW_TOUCH	SHADOW_TOUCH	BLINK
FAN_KNIVES	BLINK	FAN_KNIVES	BLINK	FAN_KNIVES	VENGEANCE	SHADOW_TOUCH	BLINK	SHADOW_TOUCH	SHADOW_TOUCH
SHADOW_TOUCH	FAN_KNIVES	SHADOW_TOUCH	FAN_KNIVES	BLINK	VENGEANCE	FAN_KNIVES	SHADOW_TOUCH	BLINK	BLINK
SHADOW_TOUCH	FAN_KNIVES	BLINK	FAN_KNIVES	BLINK	VENGEANCE	FAN_KNIVES	SHADOW_TOUCH	BLINK	SHADOW_TOUCH
